t,phi
9.500000000000006217e-01,-1.168722590060240929e+00
9.600000000000006306e-01,-1.178002309779894397e+00
9.700000000000006395e-01,-1.187196707459435396e+00
9.800000000000006484e-01,-1.196307337795804226e+00
9.900000000000006573e-01,-1.205335713375903506e+00
1.000000000000000666e+00,-1.214283306183773226e+00
1.010000000000000675e+00,-1.223151549040933705e+00
1.020000000000000684e+00,-1.231941836983420968e+00
1.030000000000000693e+00,-1.240655528578825217e+00
1.040000000000000702e+00,-1.249293947186441267e+00
1.050000000000000711e+00,-1.257858382163455913e+00
1.060000000000000719e+00,-1.266350090019920049e+00
1.070000000000000728e+00,-1.274770295525093244e+00
1.080000000000000737e+00,-1.283120192767599255e+00
1.090000000000000746e+00,-1.291400946171684216e+00
1.100000000000000755e+00,-1.299613691471743104e+00
1.110000000000000764e+00,-1.307759536647153276e+00
1.120000000000000773e+00,-1.315839562819339337e+00
1.130000000000000782e+00,-1.323854825112886102e+00
1.140000000000000790e+00,-1.331806353482414940e+00
1.150000000000000799e+00,-1.339695153506843761e+00
1.160000000000000808e+00,-1.347522207152562768e+00
1.170000000000000817e+00,-1.355288473506973901e+00
1.180000000000000826e+00,-1.362994889483765348e+00
1.190000000000000835e+00,-1.370642370501217178e+00
1.200000000000000844e+00,-1.378231811134766671e+00
1.210000000000000853e+00,-1.385764085744996432e+00
1.220000000000000862e+00,-1.393240049082147936e+00
1.230000000000000870e+00,-1.400660536868205464e+00
1.240000000000000879e+00,-1.408026366357542081e+00
1.250000000000000888e+00,-1.415338336877068226e+00
1.260000000000000897e+00,-1.422597230346774655e+00
1.270000000000000906e+00,-1.429803811781519496e+00
1.280000000000000915e+00,-1.436958829774862334e+00
1.290000000000000924e+00,-1.444063016965712265e+00
1.300000000000000933e+00,-1.451117090488516226e+00
1.310000000000000941e+00,-1.458121752407681049e+00
1.320000000000000950e+00,-1.465077690136884492e+00
1.330000000000000959e+00,-1.471985576843904964e+00
1.340000000000000968e+00,-1.478846071841562804e+00
1.350000000000000977e+00,-1.485659820965343547e+00
1.360000000000000986e+00,-1.492427456938241859e+00
1.370000000000000995e+00,-1.499149599723343274e+00
1.380000000000001004e+00,-1.505826856864634467e+00
1.390000000000001013e+00,-1.512459823816509896e+00
1.400000000000001021e+00,-1.519049084262421800e+00
1.410000000000001030e+00,-1.525595210423101866e+00
1.420000000000001039e+00,-1.532098763354758697e+00
1.430000000000001048e+00,-1.538560293237641208e+00
1.440000000000001057e+00,-1.544980339655339652e+00
1.450000000000001066e+00,-1.551359431865177330e+00
1.460000000000001075e+00,-1.557698089060033153e+00
1.470000000000001084e+00,-1.563996820621917694e+00
1.480000000000001092e+00,-1.570256126367613358e+00
1.490000000000001101e+00,-1.576476496786674453e+00
1.500000000000001110e+00,-1.582658413272071352e+00
1.510000000000001119e+00,-1.588802348343747672e+00
1.520000000000001128e+00,-1.594908765865353351e+00
1.530000000000001137e+00,-1.600978121254399644e+00
1.540000000000001146e+00,-1.607010861686074765e+00
1.550000000000001155e+00,-1.613007426290949287e+00
1.560000000000001164e+00,-1.618968246346788264e+00
1.570000000000001172e+00,-1.624893745464680350e+00
1.580000000000001181e+00,-1.630784339769685287e+00
1.590000000000001190e+00,-1.636640438076191861e+00
1.600000000000001199e+00,-1.642462442058170380e+00
1.610000000000001208e+00,-1.648250746414498646e+00
1.620000000000001217e+00,-1.654005739029529964e+00
1.630000000000001226e+00,-1.659727801129067482e+00
1.640000000000001235e+00,-1.665417307431900973e+00
1.650000000000001243e+00,-1.671074626297058163e+00
1.660000000000001252e+00,-1.676700119866912475e+00
1.670000000000001261e+00,-1.682294144206289976e+00
1.680000000000001270e+00,-1.687857049437705426e+00
1.690000000000001279e+00,-1.693389179872858197e+00
1.700000000000001288e+00,-1.698890874140511320e+00
1.710000000000001297e+00,-1.704362465310871100e+00
1.720000000000001306e+00,-1.709804281016583216e+00
1.730000000000001315e+00,-1.715216643570453892e+00
1.740000000000001323e+00,-1.720599870080002702e+00
1.750000000000001332e+00,-1.725954272558948732e+00
1.760000000000001341e+00,-1.731280158035727101e+00
1.770000000000001350e+00,-1.736577828659131573e+00
1.780000000000001359e+00,-1.741847581801174050e+00
1.790000000000001368e+00,-1.747089710157246900e+00
1.800000000000001377e+00,-1.752304501843674922e+00
1.810000000000001386e+00,-1.757492240492735558e+00
1.820000000000001394e+00,-1.762653205345227958e+00
1.830000000000001403e+00,-1.767787671340665723e+00
1.840000000000001412e+00,-1.772895909205165488e+00
1.850000000000001421e+00,-1.777978185537101741e+00
1.860000000000001430e+00,-1.783034762890597369e+00
1.870000000000001439e+00,-1.788065899856912333e+00
1.880000000000001448e+00,-1.793071851143796192e+00
1.890000000000001457e+00,-1.798052867652864650e+00
1.900000000000001465e+00,-1.803009196555056981e+00
1.910000000000001474e+00,-1.807941081364234481e+00
1.920000000000001483e+00,-1.812848762008971715e+00
1.930000000000001492e+00,-1.817732474902595374e+00
1.940000000000001501e+00,-1.822592453011520730e+00
1.950000000000001510e+00,-1.827428925921935843e+00
1.960000000000001519e+00,-1.832242119904880839e+00
1.970000000000001528e+00,-1.837032257979768435e+00
1.980000000000001537e+00,-1.841799559976390332e+00
1.990000000000001545e+00,-1.846544242595452578e+00
2.000000000000001332e+00,-1.851266519467682059e+00
2.010000000000001119e+00,-1.855966601211542777e+00
2.020000000000000906e+00,-1.860644695489603873e+00
2.030000000000000693e+00,-1.865301007063593142e+00
2.040000000000000480e+00,-1.869935737848176904e+00
2.050000000000000266e+00,-1.874549086963497979e+00
2.060000000000000053e+00,-1.879141250786507289e+00
2.069999999999999840e+00,-1.883712423001123293e+00
2.079999999999999627e+00,-1.888262794647248999e+00
2.089999999999999414e+00,-1.892792554168679642e+00
2.099999999999999201e+00,-1.897301887459929670e+00
2.109999999999998987e+00,-1.901790977912009017e+00
2.119999999999998774e+00,-1.906260006457176193e+00
2.129999999999998561e+00,-1.910709151612695944e+00
2.139999999999998348e+00,-1.915138589523627921e+00
2.149999999999998135e+00,-1.919548494004671868e+00
2.159999999999997922e+00,-1.923939036581093553e+00
2.169999999999997708e+00,-1.928310386528756970e+00
2.179999999999997495e+00,-1.932662710913285675e+00
2.189999999999997282e+00,-1.936996174628373923e+00
2.199999999999997069e+00,-1.941310940433273124e+00
2.209999999999996856e+00,-1.945607168989472280e+00
2.219999999999996643e+00,-1.949885018896593492e+00
2.229999999999996430e+00,-1.954144646727523416e+00
2.239999999999996216e+00,-1.958386207062799755e+00
2.249999999999996003e+00,-1.962609852524271226e+00
2.259999999999995790e+00,-1.966815733808049638e+00
2.269999999999995577e+00,-1.971003999716772759e+00
2.279999999999995364e+00,-1.975174797191192599e+00
2.289999999999995151e+00,-1.979328271341109780e+00
2.299999999999994937e+00,-1.983464565475666630e+00
2.309999999999994724e+00,-1.987583821133016793e+00
2.319999999999994511e+00,-1.991686178109386418e+00
2.329999999999994298e+00,-1.995771774487541617e+00
2.339999999999994085e+00,-1.999840746664676816e+00
2.349999999999993872e+00,-2.003893229379737573e+00
2.359999999999993658e+00,-2.007929355740192712e+00
2.369999999999993445e+00,-2.011949257248267120e+00
2.379999999999993232e+00,-2.015953063826652070e+00
2.389999999999993019e+00,-2.019940903843699065e+00
2.399999999999992806e+00,-2.023912904138116087e+00
2.409999999999992593e+00,-2.027869190043174896e+00
2.419999999999992379e+00,-2.031809885410440497e+00
2.429999999999992166e+00,-2.035735112633036081e+00
2.439999999999991953e+00,-2.039644992668451451e+00
2.449999999999991740e+00,-2.043539645060909127e+00
2.459999999999991527e+00,-2.047419187963295695e+00
2.469999999999991314e+00,-2.051283738158669046e+00
2.479999999999991100e+00,-2.055133411081352612e+00
2.489999999999990887e+00,-2.058968320837624155e+00
2.499999999999990674e+00,-2.062788580226009305e+00
2.509999999999990461e+00,-2.066594300757190972e+00
2.519999999999990248e+00,-2.070385592673538167e+00
2.529999999999990035e+00,-2.074162564968268452e+00
2.539999999999989821e+00,-2.077925325404248902e+00
2.549999999999989608e+00,-2.081673980532444901e+00
2.559999999999989395e+00,-2.085408635710023884e+00
2.569999999999989182e+00,-2.089129395118123789e+00
2.579999999999988969e+00,-2.092836361779290666e+00
2.589999999999988756e+00,-2.096529637574593874e+00
2.599999999999988542e+00,-2.100209323260428196e+00
2.609999999999988329e+00,-2.103875518485007312e+00
2.619999999999988116e+00,-2.107528321804554405e+00
2.629999999999987903e+00,-2.111167830699201442e+00
2.639999999999987690e+00,-2.114794141588595799e+00
2.649999999999987477e+00,-2.118407349847229781e+00
2.659999999999987264e+00,-2.122007549819489913e+00
2.669999999999987050e+00,-2.125594834834438895e+00
2.679999999999986837e+00,-2.129169297220332879e+00
2.689999999999986624e+00,-2.132731028318879396e+00
2.699999999999986411e+00,-2.136280118499243041e+00
2.709999999999986198e+00,-2.139816657171802916e+00
2.719999999999985985e+00,-2.143340732801668924e+00
2.729999999999985771e+00,-2.146852432921958709e+00
2.739999999999985558e+00,-2.150351844146844549e+00
2.749999999999985345e+00,-2.153839052184370217e+00
2.759999999999985132e+00,-2.157314141849048461e+00
2.769999999999984919e+00,-2.160777197074236433e+00
2.779999999999984706e+00,-2.164228300924300630e+00
2.789999999999984492e+00,-2.167667535606571771e+00
2.799999999999984279e+00,-2.171094982483094515e+00
2.809999999999984066e+00,-2.174510722082175551e+00
2.819999999999983853e+00,-2.177914834109737630e+00
2.829999999999983640e+00,-2.181307397460478636e+00
2.839999999999983427e+00,-2.184688490228843705e+00
2.849999999999983213e+00,-2.188058189719811253e+00
2.859999999999983000e+00,-2.191416572459497836e+00
2.869999999999982787e+00,-2.194763714205587135e+00
